序号,中文,英文,阿语,土耳其,印尼语,俄语,韩语,葡萄牙语,泰语,西班牙语,印地语,越南语 ,乌尔都语
,确定,OK,تأكيد,Tamam,Oke,Да ,확인,Sim,ยืนยัน,Si,पुष्टि करें,Xác nhận,معین کر نا
,发送消息需花费%s钻石,Sending message requires %s diamonds,تكلفة إرسال الرسالة %s الماس,Mesaj göndermek için %s elmas gerekir,Mengirim pesan membutuhkan %s berlian,Отправка сообщения стоит %s бриллиантов,메시지를 보내는 데 다이아몬드 %s이 (가) 필요합니다,O envio de uma mensagem custa %s diamantes,การส่งข้อความมีค่าใช้จ่ายเพชร %s,Enviar un mensaje cuesta %s diamantes,संदेश भेजने में %s हीरे की लागत आती है,Gửi tin nhắn tốn %s kim cương,پیغام بھیجنے میں %s ہیرے خرچ ہوتے ہیں
在线,发送消息需花费%s钻石，是否前去充值？,"Sending message requires %s diamonds,whether to recharge?",يتطلب إرسال الرسالة %s ماسة ، هل ترغب في إعادة الشحن او لا؟,Mesaj göndermek için %s elmas gerekir. Yükleme yapılsın mı?,Mengirim pesan membutuhkan %s berlian.Apakah akan mengisi ulang?,Надо заплатить %s бриллиантов за отправление сообщения.,메세지 보내려면 %s의 다이아몬드 필요,Enviar mensagem requer %s diamantes,การส่งข้อความจะมีค่าใช้จ่าย%sเพชร,Enviar un mensaje cuesta %s diamantes.,संदेश भेजने के लिए %s हीरे की आवश्यकता है,Gửi tin nhắn phải mất %s kim cương,پیغام بھیجنے میں%s ہیرے خرچ ہوتے ہیں 
,充值,Recharge,شحن,Yükle,Isi ulang,Добавить деньги,충전,Recarrega,เติมเงิน,Recargar,रिचार्ज करें,Nạp tiền,دوبارہ چارج کریں
,礼物墙,Gifts,حائط الهدايا,Hediyeler,Hadiah,Подарочная стена,선물 벽,Presentes,รายการของขวัญ,Regalos,उपहार का वाल,Tường món quà,تحفہ والی دیوار
,国籍,Country,بلد,Ülke,Negara,Гражданство,국적,País,สัญชาติ,Nacionalidad,देश,Quốc tịch,ملک
菜单,消息,Message,رسالة,Mesaj,Pesan,Сообщение ,메세지 ,Mensagem,ข้อความ,Mensaje,संदेश,Tin nhắn,خبریں
,历史匹配,History,التاريخ التوافق,Geçmiş,Sejarah,Бывшая пара,역사 매칭,História,คู่กับประวัติ,Historia,इतिहास,Kết hợp lịch sử,تاریخ
,钻石,Diamonds,الماس,Elmas,Berlian,Бриллиант ,다이아몬드,Diamantes,เพชร,Diamantes,हीरे,Kim cương,ہیرے
,VIP,VIP,استقراطية,VIP,VIP.,VIP,VIP,VIP,VIP,VIP,VIP,VIP,وی آئی پی
,设置,Settings,الإعدادات,Ayarlar,Perlengkapan,Установить ,설정,Configurações,ตั้งค่า,Configuración,सेटिंग्स,Cài đặt,ترتیبات 
,喜欢我,Like me,يحبني,benim gibi,seperti saya,Как я,나처럼,Como eu,เหมือนฉัน,Como yo,मेरे जैसा,Giống tôi,میری طرح
,%s 人非常喜欢你!,%s people really like you!,%s من الأشخاص يحبونك حقًا!,%s kişi seni beğendi!,%s orang sangat menyukaimu!,%s человек очень тебя любят!,%s의 사람을 당신을 좋아함 ,%s pessoas realmente gostam de você!,%sคนถูกใจคุณมาก,¡%s persona le gustas mucho!,%s लोग सच में आपको पसंद करते हैं!,%s người rất thích bạn!,%sلوگ واقع ہی تمہیں پسند کرتے ہیں!
消息,消息,Message,رسالة,Mesaj,Pesan,Сообщение ,메세지,Mensagem,ข้อความ,Mensaje,संदेश,Tin nhắn,پیغام
,Hilo消息,Hilo Information,رسائل Hilo,Hilo Bilgileri,Informasi Hilo,Сообщение Hilo,Hilo 메세지,Informação do Hilo,Hiloข้อความ,Noticias de Hilo,Hilo सूचना,Tin nhắn Hilo,ہیلو خبریں
,Hilo助手,Hilo assistant,مساعد Hilo,Hilo Yardımcısı,Asisten Hilo,Помощник Hilo,Hilo 도움이,Assistente do Hilo,Hiloผู้ช่วย,Asistente de Hilo,Hilo सहायक,Phụ trợ Hilo,ہیلو اسسٹنٹ
,发送消息…,Send Message…,إرسال رسالة ...,Mesaj Gönder…,Kirim Pesan,Отправить сообщение ,메세지 보내기 ,Enviar mensagem…,ส่งข้อความ…,Enviar un mensaje…,मेसेज भेजें…,Gửi tin nhắn…,پیغام بھیجِں
,照片,Photo,صورة,Fotoğraf,Foto,Фотография ,사진,Foto,ภาพถ่าย,Foto,तस्वीर,Hình ảnh,تصویر
,打个招呼吧,Say Hi,قل مرحبا!,Merhaba de!,Say Hai,Здороваться,인사합시다,Diga Olá,ทักทายเถอะ,Hola,नमस्ते कहे,Xin chào đi,ہیلو کہے
,个人页面,Profile,الملف الشخصي,Profil,Profil,Личная страница ,프로필,Perfil,หน้าส่วนตัว,Perfil,प्रोफ़ाइल,Trang cá nhân,پروفائل
,举报,Report,بلاغ ,Bildir,Laporkan,Подать жалобу на ,신고,Denunciar,รายงาน,Denunciar,रिपोर्ट करें,Báo cáo,رپورٹ
,不良消息,Inappropriate Message,رسالة غير مناسبة,Uygunsuz Mesaj,Pesan yang Tidak Pantas,Дурную информацию,불량 메세지 ,Mensagem inadequada,ข้อความไม่ดี,Malas noticias,अनुचित संदेश,Tin nhắn không phù hợp ,بری خبریں
,不雅图片,Indecent Photo,صور غير لائقة,Uygunsuz Fotoğraf,Foto tidak senonoh,Аморальную фотографию ,불미스런 사진,Foto indecente,รูปภาพไม่เหมาะสม,Imagen indecente,अश्लील फोटो,Hình ảnh không phù hợp,فحش تصویر
,提交,Submit,إرسال,Gönder,Kirim,Передать ,제출,Submeter,ส่ง,Enviar,जमा करें,Gửi,جمع کرائیں
,加入黑名单,Block,حظر,Engelle,Blok,Добавить в черный список,블랙 리스트에 오르기 ,Bloquear,เพิ่มในบัญชีดำ,Añadir a la lista negra,प्रतिबंधित करें,Thêm vào danh sách đen,بلیک فہرست میں شامل کریں
,"
我们已于%s收到您的举报，感谢您维护Hilo平台的环境! ","We have received your report at %s,thank you for maintaining the enviroment of the Hilo platform!","لقد تلقينا تقريرك في %s,شكرًا لك على الحفاظ على بيئة منصة Hilo!","%s tarihindeki şikayetinizi aldık, Hilo platformunun düzenine katkıda bulunduğunuz için teşekkür ederiz!","Kami telah menerima laporan Anda di %s, terima kasih telah menjaga lingkungan platform Hilo!","Мы %s получили вашу жалобу, благодарим вас за защиту среды платформы Hilo!","우리는 이미 %s에서 당신의 제보를 받았으며, Hilo 플랫폼의 환경을 보호해 주셔서 감사합니다!","Recebemos sua denúncia em %s, obrigado por manter o ambiente da plataforma Hilo!",เราได้รับรายงานของคุณเมื่อ%sแล้ว ขอขอบคุณที่รักษาสภาพแวดล้อมของแพลตฟอร์ม Hilo ,"Hemos recibido su informe en %s, ¡gracias por mantener el entorno de la plataforma de Hilo!  ","
हमने %s पर आपकी रिपोर्ट मिल गई है, Hilo प्लेटफ़ॉर्म के वातावरण को बनाए रखने के लिए धन्यवाद!","Chúng tôi đã nhận được báo cáo của bạn vào %s,cảm ơn bạn bảo vệ môi trường của bệ Hilo!","ہمیں %s پر آپ کی اطلاع موصول ہوئی ہے,ہیلو پلیٹ فارم کے ماحول کو برقرار رکھنے کے لئے آپ کا شکریہ!"
,由于您被多人举报，现已将您封禁至%s，构建安全和友善的Hilo社区需要大家的努力!,"Since you have been reported by many people, you have been banned to %s. It needs your efforts to build a safe and friendly Hilo community! ",نظرًا لأن العديد من الأشخاص قد أبلغوا عنك ، فقد تم حظرك إلى %s. نحتاج إلى جهودك لبناء مجتمع Hilo آمن وودي!,Birçok kullanıcı tarafından şikayet edildiğiniz için %s tarihine kadar engellendiniz. Hilo'da güvenli ve arkadaş canlısı bir topluluk oluşturmak için herkesin desteğine ihtiyacımız var!,"Karena Anda telah dilaporkan oleh banyak orang, Anda telah diblokir untuk %s. Perlu upaya Anda untuk membangun komunitas Hilo yang aman dan ramah!","Ввиду того, что многие люди подали жалобу на вас, решили блокировать вас до %s, создание безопасного и дружественного общества Hilo зависит от поддержки со всех сторон!","많은 사람들의 제보를 받았기 때문에, 현 이미 %s로 당신을 봉쇄합니다. 안전하고 친근한 Hilo 카페를 구축하는데 여러분의 노력이 필요합니다!","Desde que você foi denunciado por muitas pessoas, você foi banido para %s. Precisa de seus esforços para construir uma comunidade Hilo segura e amigável!",คุณถูกระงับถึง%s เนื่องจากคุณถูกรายงานจากหลาย ๆ คน การสร้างชุมชน Hilo ที่ปลอดภัยและเป็นมิตรต้องการความพยายามในการร่วมมือของทุกคน,"Dado que muchas personas lo han informado, se le ha prohibido el acceso a %s. ¡Se necesitan los esfuerzos de todos para construir la comunidad Hilo segura y amigable!","चूंकि आपने कई लोगों द्वारा रिपोर्ट किया गया है, इसलिए आपको %s पर प्रतिबंध लगा दिया गया है। एक सुरक्षित और मैत्रीपूर्ण Hilo समुदाय बनाने के लिए आपके प्रयासों की आवश्यकता है!","Bởi vì bạn bị nhiều người báo cáo, bạn đã bị cấm đến %s, dể xây dựng một cộng đồng Hilo an toàn và thân thiệt phải có nỗ lực của mọi người!",چونکہ آپ کی اطلاع بہت سے لوگوں کے ذریعہ دی گئی ہے ، لہذا آپ پر٪ s پابندی عائد کردی گئی ہے۔ ایک محفوظ اور دوستانہ ہیلو برادری کی تعمیر کیلئے آپ کی کوششوں کی ضرورت ہے!
,相册,Album,ألبوم الصور,Albüm,Album,Фотоальбом,앨범,foto,อัลบั้มรูป,Foto,तस्वीर,Tập ảnh,البم
,举报成功,Report successfully,تم الإبلاغ بنجاح!,Başarıyla bildirildi!,Laporan berhasil!,Подача жалобы удачна. ,신고 성공,relatado com sucesso,รายงานสำเร็จ,Denunciar exitosamente,सफलतापूर्वक रिपोर्ट करें,Thông báo thành công,رپورٹ کامیاب ہوئی
,取消,Cancel,إلغاء,İptal,Batalkan,Нет ,취소,Cancelar,ยกเลิก,Cancelar,रद्द करें,Hủy,منسوخ کریں 
匹配历史,匹配历史,History,التاريخ,Geçmiş,Sejarah,Бывшая пара,역사 매칭,História,คู่กับประวัติ,Historia de coincide,इतिहास,Lịch sử kết hợp,تاریخ
,举报成功，谢谢!,Report successfully! Thank you!,تم الإبلاغ بنجاح! شكرا جزيلا!,Başarıyla bildirildi! Teşekkür ederiz!,Laporan berhasil! Terima kasih!,"Подача жалобы удачна, спасибо! ",신고 성공! 감사합니다!,"Denunciou com sucesso, obrigado!",รายงานสำเร็จ ขอบคุณ!,"¡El informe ha sido exitoso, gracias!",सफलतापूर्वक रिपोर्ट करें! धन्यवाद!,"Báo cáo thành công, cảm ơn!",کامیابی کے ساتھ رپورٹ کریں! آپ کا شکریہ!
,删除,Delete,حذف,Sil,Hapus,Удалить,삭제,Excluir,ลบ,Eliminar,हटाएं,Xóa,حذف کریں
钻石商城,消费记录,Bill,فاتورة,Faturalar,Bill,Записи затрат ,소비 기록,Conta,บันทึกค่าใช้จ่าย,Registro de gastos,उपभोक्ता का रिकॉर्ड,Hồ sơ chi phí,اخراجات کا ریکارڈ
,钻石明细,Diamond details,تفاصيل الماس,Elmas Ayrıntıları,Rincian berlian,Добавить деньги на бриллианты,다이아몬드 충전,Detalhes do diamante,รายละเอียดเพชร,Recarga de diamantes,हीरे का विवरण,Nạp thêm kim cương,ہیروں کا ریچارج
,充值明细,Recharge details,تفاصيل إعادة الشحن,Yükleme Ayrıntıları,Isi ulang detail,Затрата на подписку,소비 서비스 구독,Detalhes da recarrega,รายละเอียดเติมเงิน,Consumo de suscripción,रिचार्ज का विवरण,Theo dõi chi phí,سبسکرپشن کی تفصیلات
,交易已取消,The transaction cancelled!,تم الغاء معاملة,İşlem iptal edildi!,Transaksi dibatalkan!,Сделка была отменена,거래가 취소됐습니다,A transação foi cancelada!,การซื้อขายยกเลิกแล้ว,Transacción cancelada,लेन-देन रद्द हो गया,Giao dịch bị hủy,ٹرانزیکشن منسوخ کر دی گیٔی ہے
,充值失败,Recharge failure,فشل في الشحن,Yükleme başarısız,Top-up gagal,Добавление денег не получилось. ,충전 실패,Falha na recarrega,เติมเงินล้มเหลว,Recarga fallida,रिचार्ज विफलता,Nạp tiền thất bại ,دوبارہ چارج کی ناکامی
,充值成功,Recharge successfully,تم الشحن,Yükleme başarılı,Top-up berhasil,Добавление денег удачно. ,충전 성공,Recarregado com sucesso.,เติมเงินสำเร็จ,Recarga exitosamente,सफलतापूर्वक रिचार्ज किया गया,Nạp tiền thành công,دوبارہ چارج کی کامیابی
,充值,Recharge,شحن,Yükle,Isi ulang,Добавить деньги ,충전,Recarrega,เติมเงิน,Recargar,रिचार्ज करें,Nạp tiền,ریچارج کریں 
,礼物消费,Gift Cost,تكلفة الهدية,Hediye Harcaması,Biaya Hadiah.,Затрата на подарки ,선물 소비,Custo do presente,การบริโภคของขวัญ,Consumo de regalos,उपहार की खपत,Chi phí món quà,تحفہ کی قیمت
,偏好消费,Preference Cost,تكلفة الأفضلية,Tercih Harcaması,Biaya Preferensi.,Затрата на любимые ,선호 소비,Custo da preferência,ต้นทุนที่ต้องการ,Consumo de preferencias,पसंद का लागत,Chi phí sở thích,ترجییحی قیمت
,消息消费,Message Cost,تكلفة الرسالة,Mesaj Harcaması,Biaya Pesan.,Затрата на сообщения,메세지 소비,Custo da Mensagem,ค่าส่งข้อความ,Consumo de mensajes,संदेश का लागत,Chi phí tin nhắn,پیغام کی قیمت
,其它消费,Other Cost,تكلفة أخرى,Diğer Harcamalar,Biaya Lainnya.,Другие затраты ,기타 소비,Outro custo,ค่าใช้จ่ายอื่น ๆ,Otro consumo,अन्य लागत,Chi phí khác,دیگر اخراجات
,礼物收益,Gift Reward,مكافأة هدية,Hediye Geliri,Hadiah Hadiah.,Доход от подарков ,선물 수익,Recompensa de presente,รายได้ของขวัญ,Recompensas de regalos,उपहार का इनाम,Thu nhập món quà,تحفہ کا معاوضہ
,登录奖励,Register Reward,تسجيل المكافأة,Kayıt Ödülü,Daftarkan Hadiah,Награда за вход ,등록 보너스 ,Recompensa de registro,รางวัลเข้าสู่ระบบ,Recompensas por inicio de sesión,पुरस्कार रजिस्टर करें,Giải thưởng đăng nhập,رجسٹر معاوضہ
,VIP奖励,VIP Reward,مكافأة VIP,VIP Ödülü,Hadiah VIP,Награда за VIP,VIP 보너스,Recompensa de VIP,รางวัลVIP,Recompensas de VIP,VIP इनाम,Giải thưởng VIP,اہم  انعام
,联系我们,Contact us,اتصل بنا,Bizimle iletişime geçin.,Hubungi kami,Связываться с нами. ,저희에게 연학주세요,Contate-Nos,ติดต่อเรา,Contáctenos,संपर्क करें,Liên hệ chúng tôi,ہم سے رابطہ کریں 
VIP,Hilo VIP,Hilo VIP,Hilo VIP,Hilo VIP,Hilo VIP,Hilo VIP,Hilo VIP,VIP de Hilo,Hilo VIP,VIP de Hilo,Hilo VIP,VIP Hilo,Hilo VIP
,订阅VIP，解锁更多有趣体验!,Subscribe to VIP service for more fun!,اشترك في خدمة VIP لمزيد من المرح!,Daha fazla eğlence için VIP hizmetine abone olun!,Berlangganan layanan VIP untuk lebih bersenang-senang!,"Подписаться на VIP, получить более моногие функции!",VIP 서비스 구독하여 더 많은 체험 즐기기!,Assine o serviço VIP para mais diversão!,ติดตาม VIP เพื่อปลดล็อกประสบการณ์ที่น่าสนใจ,¡Suscríbete a VIP para desbloquear experiencias más interesantes!,और मज़ा करने के लिए VIP सेवा के लिए सदस्यता लें,"Theo dõi VIP, thưởng thức các vui chơi giải trí hơn nữa!",مزید تفریح کے لئے VIP سروس کو سبسکرائب کریں!
,%s到期,Expires %s,%s موعد التسليم,%s tarihinde sona eriyor.,Kedaluwarsa %s,%s срок истёк,%s 만기가 됨,Expira %s,%sหมดอายุ,Tiempo de caducidad %s,%s पर समय-सीमा समाप्त,%s hết hạn,ختم ہونے کی میعاد %s
,确认购买并付款后记入iTunes账户。在订阅期结束前24小时，从您的iTunes账户中扣费，扣费成功后延续一个周期。如需取消续订，请在当前订阅到期前24小时，前往iTunes商店中的针对你的订阅进行管理或关闭自动续订。,"After confirming the purchase, your iTunes account will be charged,and your subscription will automatically renew for the same package every month until you cancel in settings in iTunes store at least 24 hours prior to the end of the current period.",بعد تأكيد عملية الشراء ، سيتم فرض رسوم على حساب iTunes الخاص بك ، وسيتم تجديد اشتراكك تلقائيًا لنفس الباقة كل شهر حتى تقوم بالإلغاء في الإعدادات في متجر iTunes قبل 24 ساعة على الأقل من نهاية الفترة الحالية.,Satın alımı onayladıktan sonra ücret iTunes hesabınızdan çekilecektir. Mevcut dönemin sona ermesinden en az 24 saat önce iTunes Store ayarlarından iptal etmediğiniz sürece aboneliğiniz aynı paket için her ay otomatik olarak yenilenecektir. ,"Setelah mengonfirmasi pembelian, akun iTunes Anda akan dikenai biaya.dan langganan Anda akan diperpanjang secara otomatis untuk paket yang sama setiap bulan sampai Anda membatalkan persediaan di iTunes store setidaknya 24 jam sebelum akhir periode berjalan.","После покупки и платежа будет записывать в счет iTunes. Перед 24 часа окончания срока подписки, будет вычитать плату из вашего счета iTunes, после успешного вычитания платы будет продолжать цикл. Если хочешь отменить подписку, то перед 24 часа окончания срока подписки в магазине iTunes можешь управить подпиской или закрыть функцию «Автоматически продолжает подписку». ","구매 결제 후 iTunes 계좌에 기입함. 구독기간이 끝나기 24시간 전, 당신의 iTunes 계정에서 요금이 공제되며, 공제 성공 후 한 주기가 연속됨. 추가 주문 취소가 필요하면, 현재 구독 기간이 만료되기 24시간 전에 iTunes 스토어에 있는 당신의 구독을 관리하거나 자동 갱신을 닫아 주면 됨.","Depois de confirmar a compra, sua conta do iTunes será cobrada. 24 horas antes do término da expiração da subscrição, a taxa será deduzida da sua conta do iTunes e, depois que a dedução for bem-sucedida, um período continuará. Se você precisar cancelar a renovação, acesse a loja do iTunes para gerenciar sua subscrição ou desative a renovação automática 24 horas antes que a subscrição atual expire.",จะคิดในบัญชี iTunes หลังจากยืนยันการซื้อและการชำระเงินแล้ว จะหักค่าใช้จ่ายจากบัญชี iTunes ของคุณก่อนสิ้นสุด 24 ชั่วโมงในการติดตาม และจะขยายเวลาต่อไปอีกหนึ่งรอบหลังจากการหักเงินสำเร็จแล้ว หากต้องการยกเลิกการต่ออายุ โปรดไปที่ร้าน iTunes เพื่อจัดการการติดตามหรือปิดการต่ออายุอัตโนมัติของคุณใน 24 ชั่วโมงก่อนการติดตามปัจจุบันจะหมดอายุ,"Después de confirmar la compra y el pago, se acredita a la cuenta de iTunes.  El pago de la renovación se cobrará en tu cuenta de iTunes 24 horas antes de que expire el período actual, cuando se haya completado la operación de pago, tu suscripción se ampliará un ciclo más. Si necesita cancelar la renovación, vaya a la tienda de iTunes para administrar tu suscripción o desactive la renovación automática al menos 24 horas antes de que finalice el período de suscripción actual. ","खरीद की पुष्टि करने के बाद, आपके iTunes खाते को चार्ज किया जाएगा, और आपकी सदस्यता हर महीने उसी पैकेज के लिए स्वचालित रूप से नवीनीकृत हो जाएगी जब तक कि आप वर्तमान अवधि के अंत से कम से कम 24 घंटे पहले iTunes स्टोर में सेटिंग्स को रद्द नहीं करते हैं।","Xác nhận mua hàng và trả tiền rồi sẽ được ghi vào tài khoản iTunes, tài khoản iTunes của bạn sẽ bị tính phí và đăng ký của bạn sẽ tự động gia hạn cho cùng một chu kỳ 24 trước trước khi kết thúc. Nếu bạn cần hủy gia hạn, hãy truy cập cửa hàng iTunes để quản lý đăng ký của bạn hoặc tắt gia hạn tự động 24 giờ trước khi đăng ký hiện tại hết hạn.",خریداری اور ادائیگی کی تصدیق کے بعد ، اسے آئی ٹیونز اکاؤنٹ میں جمع کرادیا جائے گا۔ خریداری کی مدت ختم ہونے سے 24 گھنٹے پہلے، آپ کے آئی ٹیونز اکاؤنٹ سے فیس کی کٹوتی کی جائے گی ، اور کٹوتی کامیاب ہونے کے بعد کٹوتی مدت تک جاری رہے گی۔ اگر آپ کو تجدید منسوخ کرنے کی ضرورت ہے تو ، براہ کرم اپنا سبسکرپشن سنبھالنے کے لئے آئی ٹیونز اسٹور میں جائیں یا موجودہ سبسکرپشن ختم ہونے سے 24 گھنٹے قبل خودکار تجدید کو بند کردیں۔
,特别徽章,Special Medal,وسام خاص,Özel Madalya,Medali Khusus,Особый значок,특별 배지,Medalha Especial,ตราพิเศษ,Insignia especial ,विशेष पदक,Huy chương đặc biệt,خاص تمغہ
,用特别徽章装饰个人资料，让自己获得更多关注,Get special medals to show on your profile card to make you more attention,احصل على وسام خاصة لتظهر على بطاقة ملف التعريف الخاص بك لتحصل على مزيد من الاهتمام,Profilinizde görüntülenen özel madalyalar daha fazla dikkat çekmenizi sağlar.,Dapatkan medali khusus untuk ditampilkan pada kartu profil Anda untuk membuat Anda lebih diperhatikan.,"Используя особый значок украсить личные данные, чтобы получить более многие внимания.","특별 배지로 프사필 장식, 더 많음 관심 받기",Decore seu perfil com medalhas especiais para obter mais atenção,ตกแต่งข้อมูลส่วนบุคคลด้วยตราพิเศษเพื่อได้รับการติดตามมากขึ้น,Decora tu perfil con una insignia especial para llamar más la atención.,आपको अधिक ध्यान देने के लिए अपने प्रोफाइल कार्ड पर दिखाने के लिए विशेष पदक प्राप्त करें,"Sử dụng huy chương đặc biệt để trang sức thông tin cá nhân, nhận được nhiều người theo dõi mình",اپنا پروفایٗل کارڈ دکھانے 
,发送喜欢,Like you,معجب بك,Beğeni Gönder,Seperti kamu,Послать «Любить»,좋아요 보내기 ,Gosto de você,ส่งถูกใจ,Enviar Me gusta,आपकी तरह,Gửi like,جیسا کہ آپ
,没有限制地发送喜欢给TA。发送喜欢后，对方将优先匹配到你,"Send Likes without restrictions.After sending like,you can make him/her match you first.",إرسال إعجابات بدون قيود ، وبعد إرسال الاعجاب، يمكنك جعله /جعلها مقترن بك أولاً.,Sınırsızca beğeni gönderebilirsiniz. Beğeni gönderdikten sonra karşı tarafın sizinle eşleşmesini bekleyin.,"Kirim Suka tanpa batasan. Setelah mengirim suka,Anda bisa membuatnya cocok dengan Anda terlebih dahulu.","Без ограничения послать ему (ей) «Любить». После отправления «Любить», другая сторона в первую очередь найдет тебя.",그에게 제한 없이 좋아요 보냄. 좋아요 보내고 상대방이 우선 당신을 매칭됨,"Envie gostos sem restrições. Depois de enviar o gosto, você pode fazer com que ele/ela combine com você primeiro.",ส่งไลค์ให้เขาโดยไม่มีจำกัด อีกฝ่ายจะจับคู่กับคุณก่อนหลังจากส่งไลค์แล้ว ,"Enviar Me gusta a persona sin restricciones.  Después de enviar Me gusta, la otra persona te buscará primero.",प्रतिबंध के बिना लाइक भेजें।लाइक भेजने के बाद आप उनका/उसकी मिलान आपसे पहले कर सकते हैं।,"Gửi like mà không giới hạn. Sau khi gửi like, đối phương có thể  kết hợp với bạn trước.",کسی پابندی کے بغیر لائکس بھیجیں۔ اسے بحیجنے کے بعد ،وصل کنندہ پہلے آپ کے ساتھ مل جایٗے گا۔
,修改昵称,Change Nickname,تغيير إسم الكنية,Kullanıcı Adını Değiştir,Ubah Nama Panggilan,Изменить ник ,닉네임 수정,Alterar apelido,แก้ไขชื่อเล่น,Cambiar el sobrenombre,उपनाम बदलें,Sửa tên ,عرفی نام تبدیل کریں
,每个月可以修改%s次昵称，让自己更加脱颖而出,You can modify any personalized nicknames %s times per month,يمكنك التعديل لأي اسم كنية شخصي %s مرات في الشهر,Kullanıcı adınızı ayda %s kez değiştirebilirsiniz.,Anda dapat memodifikasi nama panggilan yang dipersonalisasi %s kali per bulan.,"Каждый месяц можно %s раз изменить ник, чтобы стать более очаровательным.",나를 더욱 돋보이게 매달 %s번 닉네임 수정 가능,Você pode modificar qualquer apelido personalizado %s vezes por mês,สามารถแก้ไขชื่อเล่นได้%sครั้งต่อเดือน เพื่อให้ตัวเองโดดเด่นมากขึ้น,Puedes modificar el sobrenombre  %s veces todos los meses para destacarte.,आप हर महीने किसी भी व्यक्तिगत उपनाम को %s बार संशोधित कर सकते हैं,"Mỗi tháng có thể sửa tên %s lần, cho mình đặc biệt hơn",آپ ہر مہینے میں کسی بھی ذاتی عرف کو %s بار  ترمیم کرسکتے ہیں
,隐藏我的年龄信息,Hide Age,إخفاء العمر,Yaşı Gizle,Sembunyikan Usia,Скрыть свой возраст. ,내 나이정보 숨김,Esconder idade,ซ่อนข้อมูลอายุของฉัน,Ocultar la edad,उम्र छिपाएं,Ẩn thông tin tuổi của tôi,عمر چھپا یٗیں
,隐藏年龄，让你更加神秘,You can hide your age and make you more mysterious.,يمكنك إخفاء عمرك لتكون أكثر غموضاً.,Yaşınızı gizleyerek daha gizemli olabilirsiniz.,Anda dapat menyembunyikan usia Anda dan membuat Anda lebih misterius.,"Скрыть свой возраст, чтобы стать более таинственным. ",더 신비스럽게 내 나이정보 숨김,Você pode esconder sua idade e torná-lo mais misterioso.,ซ่อนอายุ ทำให้คุณลึกลับมากขึ้น,Ocultas la edad y hacerte más misterioso.,आप अपनी उम्र छिपा सकते हैं और आपको अधिक रहस्यमय बना सकते हैं,"Ẩn tuổi, cho bạn bí ẩn hơn",آپ اپنی عمر چھپا سکتے ہیں اور آپ کو زیادہ پراسرار بنا سکتے ہیں۔
,切换我的定位,Switch Country,تبديل الدولة,Ülke Değiştir,Beralih Negara,Переключить свое местонахождение.  ,내 위치 전환하기,Alterar país,เปลี่ยนตำแหน่งของฉัน,Cambiar la ubicación,देश बदलें,Thay đổi vị trí của tôi,مقام تبدیل کریں
,每个月可以切换%s次定位，遇见更多可能,You can modify any country %s times per month,يمكنك التعديل لأي بلد %s مرات في الشهر,Ülkenizi ayda %s kez değiştirebilirsiniz.,Anda dapat memodifikasi negara mana saja dalam %s kali per bulan,"Каждый месяц можно %s раз переключить свое местонахождение, чтобы встретить более многие возможности.",매달 %s번 위치 바꿀 수 있음,Você pode modificar qualquer país %s vezes por mês,สามารถเปลี่ยนตำแหน่งได้%sครั้งต่อเดือน เพื่อพบกับความเป็นไปได้มากขึ้น,Puede cambiar  la ubicación %s veces cada mes para conocer más posibilidades.,आप हर महीने किसी भी देश को %s बार संशोधित कर सकते हैं,"Mỗi tháng có thể sửa vị trí %s lần, gặp nhiều khả năng",آپ کسی بھی ملک میں%s  مرتبہ ہر مہینے ترمیم کرسکتے ہیں
,修改我的头像,Modify Avatar,تعديل الصورة الرمزية,Profil Resmini Değiştir,Ubah Avatar,Изменить свой аватар,내 프사 수정하기 ,Modificar Avatar,แก้ไขภาพประจำตัวของฉัน,Cambiar foto del perfil,अवतार को संशोधित करें,Sửa ảnh đại diện của tôi,اوتار میں ترمیم کریں
,每个月可以修改%s次头像，展现自己的多样,You can modify your personalized avatar %s times per month,يمكنك تعديل الصورة الرمزية الشخصية %s مرات في الشهر,Profil resminizi ayda %s kez değiştirebilirsiniz.,Anda dapat memodifikasi avatar pribadi Anda %s kali per bulan,"Каждый месяц можно %s раз сменять свой аватар, чтобы показать себя. ",나의 다양함 돋보이기 위해 매달 %s번 프사 수정 가능,Você pode modificar seu avatar personalizado %s vezes por mês,สามารถแก้ไขภาพประจำตัว%sครั้งต่อเดือน เพื่อแสดงความหลากหลายของตน,Puede cambiar foto del perfil %s veces cada mes para mostrar tu diversidad.,आप प्रति माह अपने व्यक्तिगत अवतार %s को संशोधित कर सकते हैं,"Mỗi tháng có thể sửa ảnh đại diện %s lần, thể hiện cá tính của mình",آپ اپنے ذاتی اوتار%s مرتبہ ہر ماہ ترمیم کرسکتے ہیں
,查看谁超级喜欢我,Check Who Likes Me,تحقق من من اعجبه,Beni Beğenenlere Göz At,Periksa Who Likes Me.,"Осмотреть, кто меня очень любит. ",누가 나를 좋아하는지 살펴봄,Verifique quem gosta de mim,ดูว่าใครถูกใจฉันมาก,Observar a quién le gusto tanto,मुझे कौन पसंद करता है वो देखें,Xem ai siêu thích tôi,چیک کریں کہ کون مجھے پسند کرتا ہے
